;job_name;company_name;job_url;date
29;Estágio de Desenvolvedor(a) Web Fullstack ( C# e Angular);Korp;https://korp.gupy.io/job/eyJqb2JJZCI6NTc1NzE0MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;26/10/2023
30;Estágio de RH;Maxxidata ;https://maxxioportunidades.gupy.io/job/eyJqb2JJZCI6NTcyOTU1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;26/10/2023
31;Estágio em Comercial (Customer Success);Radix Engenharia e Software;https://radixeng.gupy.io/job/eyJqb2JJZCI6NTc1MTk2MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;26/10/2023
32;Pessoa Estagiária de Produto;SiMCo - Healthcare Platform;https://simco.gupy.io/job/eyJqb2JJZCI6NTcyOTQ2NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;25/10/2023
33;Estágio em TI | Rio de Janeiro ;Wilson Sons;https://wilsonsons.gupy.io/job/eyJqb2JJZCI6NTc0MjExMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;25/10/2023
34;Estágio | Jurídico;CAPEMISA Seguradora e CAPEMISA Capitalização ;https://capemisa.gupy.io/job/eyJqb2JJZCI6NTcyODgyOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;25/10/2023
35;Estágio em Marketing de Digital (Inbound e Conteúdo) ;BrandMonitor;https://brandmonitor.gupy.io/job/eyJqb2JJZCI6NTczMDU4MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;24/10/2023
36;Estágio em Controles Internos :: São Paulo/SP;Conexão Talento;https://conexaotalento.gupy.io/job/eyJqb2JJZCI6NTczMDY0MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;24/10/2023
37;Estágio em Suporte à Ferramentas;Oportunidades T-Systems;https://t-systems.gupy.io/job/eyJqb2JJZCI6NTcyODI3Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;24/10/2023
38;Estágio em Processos ITIL;Oportunidades T-Systems;https://t-systems.gupy.io/job/eyJqb2JJZCI6NTcxOTUyNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;23/10/2023
39;Estágio em Data Quality;Neogrid Carreiras;https://neogridcarreiras.gupy.io/job/eyJqb2JJZCI6NTY3ODI4MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;23/10/2023
40;#APróximaGeração | Estágio de Férias Jurídico - Janeiro/2024;Quero ser #APróximaGeração Machado Meyer;https://aproximageracao.gupy.io/job/eyJqb2JJZCI6NTY5NjQ1Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;23/10/2023
41;#APróximaGeração | Estágio de Férias Administrativo - Janeiro/2024 ;Quero ser #APróximaGeração Machado Meyer;https://aproximageracao.gupy.io/job/eyJqb2JJZCI6NTY5NjQ4NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;23/10/2023
42;Estágio em Análise de Dados (Vaga Afirmativa para Mulheres);Zallpy Digital;https://zallpy.gupy.io/job/eyJqb2JJZCI6NTY5MzMyMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;21/10/2023
43;03 #Banco de Talentos - Programa de Estágio;TIVIT;https://tivit.gupy.io/job/eyJqb2JJZCI6NTY5MzgwNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;20/10/2023
44;Pessoa estagiária de Operações Integradas  (Vaga Remota) Méliuz;Carreiras Méliuz;https://meliuz.gupy.io/job/eyJqb2JJZCI6NTU1ODU5Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;19/10/2023
45;Estágio em Design;8D Hubify;https://8dhubify.gupy.io/job/eyJqb2JJZCI6NTY3Nzg4MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;18/10/2023
46;Estágio Jurídico/Contratos ;Oportunidade;https://startup.gupy.io/job/eyJqb2JJZCI6NTY3MjM4Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;17/10/2023
47;Estágio Internacional Recruiter;GeekHunter 💜;https://geekhunter.gupy.io/job/eyJqb2JJZCI6NTY2NzIzMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;16/10/2023
48;Estágio Dados ;Grupo Petlove;https://petlove.gupy.io/job/eyJqb2JJZCI6NTM4MDExNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;16/10/2023
49;Estágio em SDR;Seazone;https://seazonecareers.gupy.io/job/eyJqb2JJZCI6NTU5NTI1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;13/10/2023
