;job_name;company_name;job_url;date
24;Pessoa Analista de Sucesso do Cliente Pleno;Caju Benefícios;https://caju.gupy.io/job/eyJqb2JJZCI6NTc1NTUwNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
25;Pessoa Consultora de Projetos Pleno;Zeev;https://zeev.gupy.io/job/eyJqb2JJZCI6NTgyODE3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
26;PESSOA DESENVOLVEDORA .NET SR - RHA5077;Spread Tecnologia;https://spread.gupy.io/job/eyJqb2JJZCI6NTgyODIyMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
27;Pessoa Engenheira de Software Frontend  - Vaga afirmativa para Mulheres;Grupo SBF ;https://gruposbftalentos.gupy.io/job/eyJqb2JJZCI6NTgyNzIwNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
28;Pessoa Desenvolvedora Frontend Especialista I - Vaga afirmativa para talentos diversos - Marketplace - Squad Catálogo;Grupo Boticário;https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTc5NjQzMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
29;Pessoa Desenvolvedora Frontend Especialista I - (E-commerce) - Vaga Afirmativa para Talentos Diversos (PcD e Pessoas Negras (pretas e pardas));Grupo Boticário;https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTc0MTc0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
30;Banco de Pessoas Talentosas para Pessoas com Deficiência ;Bling;https://vagas-bling.gupy.io/job/eyJqb2JJZCI6NTc2NjE4Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
31;Banco de Pessoas Talentosas;Bling;https://vagas-bling.gupy.io/job/eyJqb2JJZCI6NTA3ODgzNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
32;Pessoa Desenvolvedora Fullstack Node.js/React.js Especialista I (Lojas e Franquias);Grupo Boticário;https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTc1Mzk4OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
33;Pessoa Coordenadora de Onboarding de Clientes ;Caju Benefícios;https://caju.gupy.io/job/eyJqb2JJZCI6NTc2ODIzNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
34;Analista Funcional de Sistemas Sênior (Exclusiva para Pessoas com Deficiência);Vivo Diversidade;https://vivodiversidade.gupy.io/job/eyJqb2JJZCI6NTgxMDM4OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
